[292461, 100733, 277198, 51300, 271201, 274867, 17813, 25443, 4461, 204565]
[236690, 24210, 75013, 55307, 233916, 184813, 212117, 33023, 250670, 180806]
[106021, 267347, 5851, 118466, 158351, 126582, 27259, 124372, 147474, 35243]
[11826, 134007, 284055, 284042, 283487, 235198, 221824, 131269, 140983, 87587]
[69192, 250996, 3194, 5001, 210258, 204742, 97936, 109562, 209472, 115456]
[104196, 3190, 273254, 255471, 118454, 59747, 116140, 13848, 23429, 175787]
[90091, 210067, 8402, 233150, 120746, 130429, 154057, 260578, 130441, 121817]
[181533, 12703, 306448, 262959, 170606, 56108, 107464, 69619, 48979, 227260]
[84257, 122991, 265301, 148326, 131492, 89991, 221921, 241910, 71938, 41041]
[237612, 232951, 303777, 305028, 230619, 271272, 200321, 159539, 43891, 269619]
[33329, 88300, 184962, 69330, 259982, 305471, 61246, 232576, 30472, 119866]
[17232, 123157, 220144, 268551, 242327, 25409, 50614, 196866, 50577, 28713]
[55203, 178736, 55288, 235305, 305070, 55289, 230819, 152048, 227516, 43744]
[302492, 113223, 163342, 52871, 118814, 204563, 204574, 149802, 184344, 302495]
[292018, 304801, 33605, 245456, 77196, 187115, 120703, 230819, 291130, 51078]
[300188, 97295, 282233, 127958, 149827, 60704, 144693, 124599, 187290, 289509]
[99433, 212132, 212158, 103385, 38240, 141935, 69967, 247868, 263883, 54750]
[7665, 221084, 303835, 36796, 199878, 273713, 290134, 33565, 195600, 171752]
[309278, 290864, 218312, 253187, 118731, 276459, 99145, 135862, 123299, 190344]
[19110, 236954, 42661, 163846, 280536, 224974, 289693, 257962, 285406, 267330]
[169970, 162031, 139548, 172597, 92190, 128059, 89617, 119376, 218795, 143942]
[81960, 56058, 155133, 177986, 170357, 269970, 48826, 273879, 159695, 69855]
[36169, 280669, 213010, 112679, 112678, 36113, 40453, 288416, 272377, 274536]
[42442, 17448, 230724, 6411, 13539, 240741, 162294, 60064, 172790, 155978]
[94722, 38224, 77447, 294081, 287124, 80677, 177446, 274198, 268782, 128724]
[75027, 14331, 35241, 51518, 77880, 35238, 199042, 158569, 266168, 234497]
[190187, 180144, 255848, 307369, 245330, 34491, 11092, 266027, 204420, 119338]
[179762, 96767, 284214, 244379, 307320, 230224, 61301, 242445, 183244, 93835]
[62046, 291609, 34483, 124968, 130460, 139164, 282172, 51895, 66700, 295219]
[96898, 82313, 218736, 223636, 15924, 148418, 225470, 267233, 127145, 169851]
[51900, 125110, 221087, 284692, 118604, 75647, 290135, 151991, 266293, 21614]
[123016, 25519, 267434, 89368, 179035, 153868, 58329, 80252, 286433, 305782]
[73993, 113474, 299048, 54644, 280069, 248197, 168003, 66746, 79849, 280908]
[186400, 77938, 223428, 27489, 69388, 214412, 148976, 21990, 139184, 233838]
[262561, 211471, 21985, 117471, 58015, 41902, 108908, 44331, 198099, 187660]
[3577, 94648, 146967, 281597, 256991, 277949, 72550, 56941, 220983, 117928]
[40392, 27949, 203364, 146663, 121192, 121198, 161402, 40408, 75649, 233244]
[216184, 301284, 238508, 55049, 163745, 166086, 246782, 84999, 110785, 128687]
[218536, 242274, 212278, 198749, 107043, 288081, 134482, 163993, 115670, 246804]
[166553, 233459, 292237, 169579, 203394, 162560, 307489, 84014, 180786, 80562]
[114746, 197733, 171015, 87593, 87592, 55171, 73472, 271077, 187149, 228339]
[35710, 45170, 187187, 180720, 15079, 105621, 255612, 297683, 257496, 55396]
[245807, 174444, 82668, 171356, 235156, 54855, 123302, 292457, 114776, 169911]
[4113, 291531, 166886, 46721, 129036, 242042, 184558, 70385, 23242, 278461]
[1315, 114741, 44819, 223280, 121914, 204574, 40806, 123425, 206433, 183491]
[107043, 271938, 197269, 43304, 135974, 43952, 50357, 50359, 76434, 192061]
[192000, 21526, 131557, 72811, 182670, 211837, 93332, 54647, 290771, 2745]
[43563, 215066, 96128, 267977, 24752, 301485, 200647, 134490, 114693, 198054]
[169618, 303829, 171023, 303834, 275969, 273864, 149882, 152482, 282468, 239331]
[258447, 235528, 4689, 174640, 55356, 182929, 162374, 299502, 46856, 199044]
[303781, 158219, 225641, 219470, 280520, 57823, 11917, 74577, 103401, 214221]
[64679, 175814, 92879, 10982, 252182, 184423, 60418, 278478, 232575, 60995]
[299515, 2465, 91839, 196910, 92067, 52670, 161940, 292825, 4402, 240253]
[127170, 127176, 231600, 244398, 218835, 53729, 32158, 278564, 285366, 196485]
[18912, 298381, 60056, 84465, 19680, 50896, 56000, 19936, 99993, 64021]
[216316, 297688, 231142, 249732, 11096, 33284, 282516, 286005, 180886, 11917]
[124423, 244653, 17953, 246412, 122781, 287475, 87872, 19131, 27554, 195847]
[20763, 93800, 49020, 302400, 209000, 56528, 1207, 19064, 211372, 27880]
[111961, 280519, 283690, 267858, 151992, 212131, 177198, 212134, 26087, 147508]
[142923, 14715, 13770, 297941, 150963, 255223, 149886, 164912, 259345, 233280]
[235918, 255089, 87721, 102099, 13335, 5528, 15808, 99446, 93200, 255848]
[23230, 17638, 45683, 287437, 257523, 66363, 93419, 303963, 18891, 190067]
[104252, 104250, 49056, 125310, 271954, 104923, 12382, 43164, 151555, 18958]
[51312, 171493, 200637, 273854, 48941, 59943, 118117, 168266, 248095, 179157]
[11292, 210487, 208838, 269638, 291308, 168014, 153617, 139355, 282037, 80602]
[278566, 167012, 133555, 66727, 306246, 306275, 131791, 271923, 183860, 113656]
[272015, 87689, 77282, 84464, 27241, 86991, 101975, 163834, 138487, 119288]
[12348, 19303, 26095, 219326, 7342, 118622, 193220, 165763, 109270, 13579]
[138006, 52529, 100596, 200802, 247779, 26667, 215288, 287196, 295336, 126858]
[186518, 52426, 227808, 91885, 119076, 125034, 271811, 127759, 162922, 237482]
[182310, 109872, 83249, 150946, 136412, 27870, 41746, 222095, 230497, 107871]
[131650, 42907, 307914, 72107, 21533, 35298, 155839, 107470, 276526, 264303]
[295524, 162222, 295557, 165661, 241810, 237702, 272471, 127792, 135604, 272470]
[82599, 117505, 197173, 274924, 179560, 258232, 61310, 107429, 100026, 30868]
[235187, 217707, 66091, 53681, 217059, 157019, 170740, 55520, 224274, 179546]
[146589, 276162, 136079, 19299, 124046, 182192, 133831, 136076, 137351, 122111]
